Localización,Precio m2 jun 2022,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo
Lugo,"6,3 €/m2","+ 3,3 %","+ 2,2 %","+ 9,3 %","6,3 €/m2 jun 2022","0,0 %"
Ourense provincia,"5,7 €/m2","- 0,6 %","+ 4,0 %","- 1,7 %","6,0 €/m2 oct 2020","- 5,1 %"
Ourense,"5,9 €/m2","- 1,3 %","+ 3,1 %","- 2,5 %","6,4 €/m2 oct 2020","- 7,8 %"
Pontevedra provincia,"9,6 €/m2","+ 3,5 %","+ 7,7 %","+ 4,6 %","9,6 €/m2 jun 2022","0,0 %"
Pontevedra,"7,3 €/m2","- 1,8 %","+ 1,8 %","+ 7,3 %","7,4 €/m2 mayo 2022","- 1,8 %"
La Rioja,"7,3 €/m2","+ 2,1 %","+ 3,3 %","+ 4,7 %","7,3 €/m2 jun 2022","0,0 %"
La Rioja,"7,3 €/m2","+ 2,1 %","+ 3,3 %","+ 4,7 %","7,3 €/m2 jun 2022","0,0 %"
Logroño,"7,3 €/m2","- 0,4 %","+ 0,1 %","+ 2,8 %","7,4 €/m2 mayo 2022","- 0,4 %"
Madrid Comunidad,"14,5 €/m2","+ 1,6 %","+ 4,2 %","+ 5,7 %","15,4 €/m2 mayo 2020","- 5,7 %"
Madrid provincia,"14,5 €/m2","+ 1,6 %","+ 4,2 %","+ 5,7 %","15,4 €/m2 mayo 2020","- 5,7 %"
Madrid,"15,7 €/m2","+ 1,6 %","+ 4,6 %","+ 7,9 %","16,8 €/m2 mayo 2020","- 6,5 %"
Melilla,"9,2 €/m2","- 0,3 %","+ 1,0 %","- 0,1 %","9,5 €/m2 jun 2013","- 3,7 %"
Melilla provincia,"9,2 €/m2","- 0,3 %","+ 1,0 %","- 0,1 %","9,5 €/m2 jun 2013","- 3,7 %"
Melilla,"9,2 €/m2","- 0,3 %","+ 1,0 %","- 0,1 %","9,5 €/m2 jun 2013","- 3,7 %"
Murcia Región,"7,3 €/m2","+ 3,8 %","+ 8,6 %","+ 7,2 %","7,3 €/m2 jun 2022","0,0 %"
Murcia provincia,"7,3 €/m2","+ 3,8 %","+ 8,6 %","+ 7,2 %","7,3 €/m2 jun 2022","0,0 %"
Murcia,"7,6 €/m2","+ 3,7 %","+ 6,4 %","+ 5,9 %","7,6 €/m2 jun 2022","0,0 %"
Navarra,"9,3 €/m2","+ 0,5 %","+ 1,5 %","+ 3,7 %","9,3 €/m2 jun 2022","0,0 %"
Navarra,"9,3 €/m2","+ 0,5 %","+ 1,5 %","+ 3,7 %","9,3 €/m2 jun 2022","0,0 %"
Pamplona/Iruña,"9,8 €/m2","+ 0,5 %","+ 1,7 %","+ 3,2 %","9,9 €/m2 dic 2021","- 0,6 %"
